ID,Isolate Number,HN,Unit,Species,Breed,Sex,Submitted sample,Method of collection,Methods,Vitek card lot,Bacterial species identification,Counting (CFU/mL),ESBL,Ampicillin,ampicillin_,Amoxicillin/clavulanic acid,amoxicillin/clavulanic acid_,Cephalexin,cephalexin_,Cefalothin,cefalothin_,Cefpodoxime,cefpodoxime_,Cefovecin,cefovecin_,Ceftiofur,ceftiofur_,Imipenem,imipenem_,Amikacin,amikacin_,Gentamicin,gentamicin_,Neomycin,neomycin_,Enrofloxacin,enrofloxacin_,Marbofloxacin,marbofloxacin_,Pradofloxacin,pradofloxacin_,Doxycycline,doxycycline_,Tetracycline,tetracycline_,Nitrofurantoin,nitrofurantoin_,Chloramphenicol,chloramphenicol_,Sulfamethoxazole/trimethoprim,sulfamethoxazole/trimethoprim_,Specific resistance phenotype,Interpretation and recommendation,Field1,Field2,Florfenicol,florfenicol_,Sulfamethoxazole/trimethoprim1,sulfamethoxazole/trimethoprim_1,Specific resistance phenotype1,Interpretation and recommendation1
2,M9/2566,6510301,หน่วยหอสัตว์ป่วยวิกฤต,Dog,Poodle,Female,urine,Catheterization,Maldi/VITEK,GN-AST,Escherichia coli,>10^5,NEG,>=32,R,8,S,8,S,4,S,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,>=16,R,<=2,S,>=4,R,>=4,R,1,I,>=16,R,>=16,R,<=16,S,4,S,>=320,R,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
- 	ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
     o 	Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
- 	ในกรณีนี้ไม่แนะนำให้ใช้ amoxicillin/clavulanic acid ถึงแม้เชื้อจะแสดงความไวรับ เนื่องจากค่า mic สูง ต้องให้ยาถี่มาก (25 mg/kg อย่างน้อยทุก 4 ชั่วโมง) เพื่อรักษาระดับยาในเลือดให้สูงกว่า mic ไม่น้อยกว่า 50% ของระยะห่าง (ความถี่) ในการให้ยา ซึ่งไม่สะดวกต่อเจ้าของสัตว์",,,,,,,,
3,M22/2566,6513969,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Bangkaew,Male,urine,cystocenteis,Maldi/VITEK,GN-AST,Klebsiella pneumoniae,>10^5,POS,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,2,I,>=64,R,>=16,R,>=64,R,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,128,R,>=64,R,>=320,R,Klebsiella pneumoniae,"- 	จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 -	เชื้อดื้อต่อยาทุกชนิดที่ใช้ทดสอบและมีใช้ในคลินิก แนะนำให้ flush ล้างกระเพาะปัสสาวะด้วย Microcyn® เพื่อช่วยกำจัด/ลดจำนวนเชื้อในกระเพาะปัสสาวะ และจัดการกับสาเหตุโน้มนำต่างๆ เช่น ไม่คาท่อ/สายสวนปัสสาวะ จัดการปัญหานิ่ว เป็นต้น หากจำเป็นต้องใช้ยาต้านจุลชีพที่ออกฤทธิ์ทั่วร่างกาย ยาที่อาจพอได้ผลในการรักษา หากใช้ในขนาดและความถี่ที่แนะนำ ได้แก่ 
     o	 Imipenem 10 mg/kg q6h หรือ 20 mg/kg q12h IV infusion over 20-60 minutes for at least 10 days หรือให้ยาต่อเนื่อง
        จนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์",,,,,,,,
4,M27/2565,,,Cat,Domestic Shorthair (DSH),Male,swab uterus,NA,Maldi/VITEK,GN-AST,Escherichia coli,NA,NEG,8,R,4,R,8,R,4,I,0.5,S,2,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,1,S,2,S,<=16,S,8,S,<=20,S,Escherichia coli,"- 	การติดเชื้อในมดลูกจัดเป็น medical emergency มีอันตรายและความเสี่ยงที่ทำให้เกิดการติดเชื้อทั่วร่างกาย จำเป็นต้องใช้ยาต้านจุลชีพตามระบบ แนะนำให้ใช้ยาฉีดมากกว่ายากิน ซึ่งยาที่แนะนำ ตามลำดับ ได้แก่
     o	 Enrofloxacin 5 mg/kg q24h SC (หรือ PO AC ขึ้นกับความรุนแรงของอาการ) for at least 7 d หรือให้ยาต่อเนื่องจนอาการหาย
        สนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	Marbofloxacin 5.5-11 mg/kg q24h SC, IV (หรือ PO AC ขึ้นกับความรุนแรงของอาการ) for at least 7 d หรือให้ยาต่อเนื่องจน
        อาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o (หากอาการไม่รุนแรงหรือตัดมดลูกออกแล้ว) 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for at least 7 d หรือ
        ให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติด
        เชื้อเรื้อรัง",,,,,,,,
6,M29/2566,6315128,หน่วยหอสัตว์ป่วยวิกฤต,Dog,Jack Russell Terrier,Male,urine,catheterization,Vitek/MALDI,GN-AST,Klebsiella pneumoniae,>10^5,NEG,>=32,R,>=32,R,>=64,R,>=64,R,4,I,>=8,R,4,I,1,S,4,S,>=16,R,16,I,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,64,I,16,I,<=20,S,Klebsiella pneumoniae,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o	 Amikacin 30 mg/kg q24h หรือแบ่งให้ 15 mg/kg q12h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์ (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หากสุนัขมีความผิดปกติของไตหรือเกิดภาวะ
        แห้งน้ำ เนื่องจากจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น)
     o	 Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์",,,,,,,,
7,M33/2566,,,Dog,Chihuahua,Male,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,>=32,R,8,S,8,S,4,S,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,<=16,S,4,S,<=20,S,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
- 	ในกรณีนี้ไม่แนะนำให้ใช้ amoxicillin/clavulanic acid ถึงแม้เชื้อจะแสดงความไวรับ เนื่องจากค่า mic สูง ต้องให้ยาถี่มาก (25 mg/kg อย่างน้อยทุก 4 ชั่วโมง) เพื่อรักษาระดับยาในเลือดให้สูงกว่า mic ไม่น้อยกว่า 50% ของระยะห่าง (ความถี่) ในการให้ยา ซึ่งไม่สะดวกต่อเจ้าของสัตว์",,,,,,,,
8,M35/2566,6115825,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Pug,Male,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,8,S,4,S,8,S,8,S,<=0.25,S,1,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,>=4,R,>=4,R,>=4,R,1,S,<=1,S,<=16,S,4,S,<=20,S,Escherichia coli,"- 	จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 
        1-2 สัปดาห์ 
     o 	Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท",,,,,,,,
10,M42/2566,6504653,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Mixd breed,Male,urine,catheterization,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,>=32,R,8,S,8,S,8,S,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,<=16,S,>=64,R,<=20,S,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
- 	ในกรณีนี้ไม่แนะนำให้ใช้ amoxicillin/clavulanic acid ถึงแม้เชื้อจะแสดงความไวรับ เนื่องจากค่า mic สูง ต้องให้ยาถี่มาก (25 mg/kg อย่างน้อยทุก 4 ชั่วโมง) เพื่อรักษาระดับยาในเลือดให้สูงกว่า mic ไม่น้อยกว่า 50% ของระยะห่าง (ความถี่) ในการให้ยา ซึ่งไม่สะดวกต่อเจ้าของสัตว์",,,,,,,,
12,M53/2566,6515151,แผนกสูติกรรม,Dog,Mixed breed,Male,PG cyst,NA,Vitek/MALDI,GN-AST,Escherichia coli,NA,POS,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,<=2,S,<=1,S,16,I,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,<=16,S,>=64,R,>=320,R,ESBL-producing Escherichia coli,"-	 ยาต้านจุลชีพที่แนะนำ ได้แก่
     o 	Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for 6-8 weeks หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์",,,,,,,,
13,M51/2566,6200086,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Chihuahua,Male,urine,NA,Vitek/MALDI,GN-AST,Escherichia coli,1.0x10^3,NEG,>=32,R,8,S,8,S,8,S,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,>=4,R,>=4,R,1,I,>=16,R,>=16,R,<=16,S,<=2,S,>=320,R,,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
     o 	Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
- 	ในกรณีนี้ไม่แนะนำให้ใช้ amoxicillin/clavulanic acid ถึงแม้เชื้อจะแสดงความไวรับ เนื่องจากค่า mic สูง ต้องให้ยาถี่มาก (25 mg/kg อย่างน้อยทุก 4 ชั่วโมง) เพื่อรักษาระดับยาในเลือดให้สูงกว่า mic ไม่น้อยกว่า 50% ของระยะห่าง (ความถี่) ในการให้ยา ซึ่งไม่สะดวกต่อเจ้าของสัตว์",,,,,,,,
14,M52/2566,5605741,หน่วยอายุรกรรมทั่วไปและเวชศาสตร์ป้องกัน,Dog,Golden Retriever,Male,urine,catheterization,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,>=32,R,4,S,16,S,32,R,2,S,1,S,2,S,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,2,S,8,I,32,S,16,I,<=20,S,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 
        1-2 สัปดาห์ 
     o 	Cephalexin 30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท",,,,,,,,
